Contig ID,Size,Prev_ech1,Prev_ech2,Prev1 F ENV RPKM,Prev2 F ENV RPKM
Prev_v1_contig_1031,213,2115,2711,7.069946525,7.624025333
Prev_v1_contig_10310,320,1109,1841,10.18216737,14.22039073
Prev_v1_contig_10311,363,764,1515,6.579719477,10.97679891
Prev_v1_contig_10312,2118,168,256,6.986304906,8.956272015
Prev_v1_contig_10313,2199,1482,1648,31.6381475,29.59845936
Prev_v1_contig_10314,269,5959,7591,17.39849515,18.6460287
Prev_v1_contig_10315,1705,255,204,13.8879037,9.347075255
Prev_v1_contig_10316,407,365,424,16.6207244,16.24321512
Prev_v1_contig_10317,495,1925,2716,28.38746168,33.69571286
Prev_v1_contig_10318,272,421,520,12.95487505,13.46181235
Prev_v1_contig_10319,892,1404,1820,16.75948798,18.27738594
Prev_v1_contig_1032,423,3309,5494,24.64491951,34.42455603
Prev_v1_contig_10320,416,83,97,2.482328436,2.440629971
Prev_v1_contig_10321,2510,2987,4386,29.02333514,35.85335303
Prev_v1_contig_10322,580,66,68,6.083027503,5.272709118
Prev_v1_contig_10323,192,306,422,6.079016086,7.052991703
Prev_v1_contig_10324,1202,1546,14,12.94235138,0.098600879
Prev_v1_contig_10325,214,756,978,6.772471742,7.37077776
Prev_v1_contig_10326,485,239,260,6.554806937,5.999076604
Prev_v1_contig_10327,2386,44,44,1.9894178,1.673690131
Prev_v1_contig_10328,212,1164,1227,15.20078807,13.48052302
Prev_v1_contig_10329,1490,371,369,5.600275189,4.686092754
Prev_v1_contig_1033,758,1460,1617,57.70989666,53.77204045
Prev_v1_contig_10330,795,1286,1382,29.95575796,27.08297964
Prev_v1_contig_10331,1736,260,295,4.693404774,4.480079643
Prev_v1_contig_10332,983,1112,1166,9.153232168,8.074530833
Prev_v1_contig_10333,484,2078,2548,19.55661534,20.17421431
Prev_v1_contig_10334,475,1133,1101,17.51650285,14.3203578
Prev_v1_contig_10335,1915,3400,4695,23.67619374,27.50537818
Prev_v1_contig_10336,851,28,37,2.199922515,2.445682822
Prev_v1_contig_10337,444,3597,4344,57.75309864,58.67778684
Prev_v1_contig_10338,945,1706,2796,23.71668253,32.70100773
Prev_v1_contig_10339,2155,245,300,3.167117039,3.26263386
Prev_v1_contig_1034,742,4486,5311,43.4562908,43.28313832
Prev_v1_contig_10340,711,1240,1384,24.10926384,22.63848764
Prev_v1_contig_10341,481,67,124,4.354035505,6.779347636
Prev_v1_contig_10342,850,172,489,3.478237949,8.319337768
Prev_v1_contig_10343,1424,845,805,21.77323464,17.4506328
Prev_v1_contig_10344,440,2189,3021,15.62934044,18.14657511
Prev_v1_contig_10345,3334,889,1039,22.04760637,21.67825342
Prev_v1_contig_10346,957,1765,2413,20.44494239,23.51513948
Prev_v1_contig_10347,1214,1139,1199,23.37846687,20.70429954
Prev_v1_contig_10348,2926,117,176,5.649818996,7.150071692
Prev_v1_contig_10349,328,1668,2006,36.46159245,36.8909272
Prev_v1_contig_1035,2301,4621,6380,117.8032596,136.8330708
Prev_v1_contig_10350,1061,3506,4416,18.72218976,19.83914043
Prev_v1_contig_10351,212,758,1076,17.98444435,21.47776795
Prev_v1_contig_10352,1275,1868,2346,15.63115113,16.51547823
Prev_v1_contig_10353,1148,4917,5621,91.60601962,88.10213763
Prev_v1_contig_10354,213,96,106,10.39769673,9.658747976
Prev_v1_contig_10355,1341,107,110,2.735027477,2.365482052
Prev_v1_contig_10356,414,65,9,1.355929235,0.157948401
Prev_v1_contig_10357,777,273,288,6.922772041,6.144109225
Prev_v1_contig_10358,4612,2108,2965,28.92766503,34.23075885
Prev_v1_contig_10359,1369,211,175,2.16543306,1.510947631
Prev_v1_contig_1036,4989,2987,3915,85.46722424,94.24215297
Prev_v1_contig_10360,482,934,1110,35.10879142,35.10274167
Prev_v1_contig_10361,322,274,287,3.345723832,2.948291903
Prev_v1_contig_10362,301,883,924,8.821143931,7.76578266
Prev_v1_contig_10363,891,3110,3177,80.67800122,69.33635574
Prev_v1_contig_10364,421,99,115,5.469465651,5.34510943
Prev_v1_contig_10365,524,528,821,16.6482858,21.77849242
Prev_v1_contig_10366,328,3526,3965,80.75994778,76.40221843
Prev_v1_contig_10367,788,630,701,52.74050047,49.37086894
Prev_v1_contig_10368,1640,4577,6406,37.05428127,43.63082969
Prev_v1_contig_10369,1439,583,1277,14.82300955,27.31541397
Prev_v1_contig_1037,333,7954,3641,138.1197211,53.19120646
Prev_v1_contig_10370,273,34,31,2.797448986,2.145823554
Prev_v1_contig_10371,617,942,1433,16.25459014,20.80273165
Prev_v1_contig_10372,477,2255,2448,16.05871055,14.66643606
Prev_v1_contig_10373,647,259,325,13.45589462,14.20513058
Prev_v1_contig_10374,320,276,369,17.29126772,19.44881633
Prev_v1_contig_10375,892,872,1083,29.79839022,31.13535564
Prev_v1_contig_10376,1279,1578,1716,17.70125733,16.19434757
Prev_v1_contig_10377,415,2989,2106,43.01905536,25.500129
Prev_v1_contig_10378,1694,1843,2135,56.08206097,54.65697165
