Contig ID,Size,Pcos_ech1,Pcos_ech2,Pcos1 F ENV RPKM,Pcos2 F ENV RPKM
Pcos_v1_contig_10268,384,1310,851,75.80452006,49.82770402
Pcos_v1_contig_10269,2763,2991,3983,24.05418015,32.4117113
Pcos_v1_contig_1027,4537,2000,4470,9.795266302,22.1519154
Pcos_v1_contig_10270,951,5333,4925,124.6080495,116.438944
Pcos_v1_contig_10271,1065,959,2070,20.00893763,43.7011915
Pcos_v1_contig_10272,657,99,381,3.348303804,13.03863555
Pcos_v1_contig_10273,1576,832,453,11.73065181,6.462707929
Pcos_v1_contig_10274,363,724,181,44.31869587,11.21100355
Pcos_v1_contig_10275,289,61,12,4.690153142,0.933589468
Pcos_v1_contig_10276,2705,2891,3707,23.74848192,30.81256529
Pcos_v1_contig_10277,2252,1662,3257,16.39901127,32.51785669
Pcos_v1_contig_10278,276,639,311,51.44543067,25.33517143
Pcos_v1_contig_10279,415,2112,890,113.0839183,48.21858374
Pcos_v1_contig_1028,209,15,284,1.594777149,30.55234815
Pcos_v1_contig_10280,366,940,472,57.06920194,28.99569037
Pcos_v1_contig_10281,1802,2448,1730,30.18642331,21.58558667
Pcos_v1_contig_10282,280,5,8,0.396795743,0.642398467
Pcos_v1_contig_10283,646,438,322,15.06595353,11.2071683
Pcos_v1_contig_10284,232,5,2,0.478891414,0.193827124
Pcos_v1_contig_10285,1351,27,140,0.444082282,2.329942627
Pcos_v1_contig_10286,432,1194,263,61.41516333,13.68814326
Pcos_v1_contig_10287,1353,1751,2316,28.75698697,38.48693255
Pcos_v1_contig_10288,990,552,547,12.38964647,12.42294813
Pcos_v1_contig_10289,2038,689,1634,7.51225071,18.02687357
Pcos_v1_contig_1029,1382,197,3481,3.167475135,56.63286342
Pcos_v1_contig_10290,294,191,1755,14.43580703,134.215394
Pcos_v1_contig_10291,3408,896,1734,5.842025586,11.43989524
Pcos_v1_contig_10292,1346,783,288,12.92622566,4.810829531
Pcos_v1_contig_10293,349,261,487,16.61766928,31.37444663
Pcos_v1_contig_10294,224,91,153,9.027103152,15.35733836
Pcos_v1_contig_10295,754,362,543,10.66822719,16.19201972
Pcos_v1_contig_10296,2601,233,872,1.990538583,7.537870518
Pcos_v1_contig_10297,2680,1366,1102,11.32585342,9.245264507
Pcos_v1_contig_10298,1774,1120,1323,14.02876494,16.76790362
Pcos_v1_contig_10299,557,487,979,19.42803142,39.51846226
Pcos_v1_contig_103,878,20829,79907,527.1435964,2046.269591
Pcos_v1_contig_1030,1100,2060,24027,41.61305173,491.1107081
Pcos_v1_contig_10300,1530,192,358,2.788462633,5.260949538
Pcos_v1_contig_10301,1243,1951,2248,34.87716468,40.66284103
Pcos_v1_contig_10302,238,0,0,0,0
Pcos_v1_contig_10303,363,306,181,18.73138251,11.21100355
Pcos_v1_contig_10304,492,98,96,4.426046824,4.387111483
Pcos_v1_contig_10305,784,142,461,4.024642536,13.22078988
Pcos_v1_contig_10306,2323,458,735,4.380980291,7.113947726
Pcos_v1_contig_10307,279,2,41,0.15928718,3.304092474
Pcos_v1_contig_10308,299,0,0,0,0
Pcos_v1_contig_10309,2591,1577,1955,13.52444062,16.96492285
Pcos_v1_contig_1031,1961,310,65166,3.512684395,747.1641243
Pcos_v1_contig_10310,913,572,512,13.9213157,12.608741
Pcos_v1_contig_10311,1601,280,284,3.886169425,3.988407722
Pcos_v1_contig_10312,2731,1046,1813,8.510694778,14.92617896
Pcos_v1_contig_10313,1941,619,10193,7.086309961,118.0725735
Pcos_v1_contig_10314,1655,775,892,10.40539894,12.11823574
Pcos_v1_contig_10315,688,758,84,24.48137456,2.745132985
Pcos_v1_contig_10316,939,533,339,12.61294924,8.117207468
Pcos_v1_contig_10317,2801,784,432,6.219535987,3.467713254
Pcos_v1_contig_10318,1328,11348,3268,189.8787147,55.32947039
Pcos_v1_contig_10319,674,653,433,21.52822957,14.44443438
Pcos_v1_contig_1032,2632,2346,2027,19.8060173,17.315714
Pcos_v1_contig_10320,1041,223,829,4.760024244,17.90508312
Pcos_v1_contig_10321,1140,1610,299,31.38167034,5.897105227
Pcos_v1_contig_10322,4547,3659,5019,17.88102813,24.8178858
Pcos_v1_contig_10323,1386,17,152,0.272546571,2.465771894
Pcos_v1_contig_10324,218,0,19,0,1.959610003
Pcos_v1_contig_10325,1742,670,1167,8.546369848,15.06243708
Pcos_v1_contig_10326,1731,1303,1854,16.72639617,24.08159245
Pcos_v1_contig_10327,1653,1299,1238,17.46189324,16.83915643
Pcos_v1_contig_10328,382,290,341,16.86901274,20.07074792
Pcos_v1_contig_10329,2475,1609,1277,14.44560954,11.60080787
Pcos_v1_contig_1033,1075,1172,2812,24.22557972,58.81382059
Pcos_v1_contig_10330,550,3624,1703,146.4133005,69.61847388
Pcos_v1_contig_10331,896,68,363,1.686381908,9.109009515
Pcos_v1_contig_10332,1955,1086,2502,12.34349356,28.77485103
Pcos_v1_contig_10333,1835,3108,2518,37.6356978,30.85263047
Pcos_v1_contig_10334,1164,5202,4281,99.30529336,82.69224598
Pcos_v1_contig_10335,1253,814,2043,14.43538479,36.65977845
Pcos_v1_contig_10336,805,149,1921,4.112874136,53.65423719
Pcos_v1_contig_10337,273,2,216,0.162787997,17.78949601
Pcos_v1_contig_10338,487,60,28,2.737646194,1.292711494
Pcos_v1_contig_10339,215,2,0,0.206702899,0
Pcos_v1_contig_1034,2289,53520,20352,519.5476003,199.9096881
Pcos_v1_contig_10340,1161,54,13,1.033514493,0.251758228
Pcos_v1_contig_10341,569,28,25,1.093454701,0.987871105
Pcos_v1_contig_10342,1426,1072,689,16.70437731,10.86356174
Pcos_v1_contig_10343,979,303,988,6.877252468,22.69064249
Pcos_v1_contig_10344,2525,474,926,4.171305426,8.24559775
Pcos_v1_contig_10345,289,1221,4798,93.87995059,373.2801889
Pcos_v1_contig_10346,493,348,791,15.68510231,36.0746482
Pcos_v1_contig_10347,1959,11,7,0.124770892,0.080340799
Pcos_v1_contig_10348,828,79,2411,2.120077738,65.46955876
Pcos_v1_contig_10349,228,7,158,0.682210225,15.58098037
Pcos_v1_contig_1035,1442,4965,13443,76.50838306,209.6058882
Pcos_v1_contig_10350,383,2913,894,169.0039059,52.48210976
Pcos_v1_contig_10351,565,370,178,14.55151822,7.083437965
Pcos_v1_contig_10352,1453,688,166,10.52150474,2.568709631
