Contig ID,Size,Hbet_ech1,Hbet_ech2,Hbet_ech3,HBET1 RPKM,HBET2 RPKM,HBET3 RPKM
Hbet_v1_contig_10209,1535,76,102,210,1.817273872,2.970054306,4.416569764
Hbet_v1_contig_1021,1622,19752,5703,20923,96.15704581,280.0441988,299.5248133
Hbet_v1_contig_10210,1837,2248,1746,1517,25.99343493,17.92791976,36.52229796
Hbet_v1_contig_10211,2999,434,513,1077,4.678099879,7.796374869,8.384503817
Hbet_v1_contig_10212,1557,2739,2900,2733,50.93754102,38.1069767,44.93964067
Hbet_v1_contig_10213,1591,596,636,578,10.93240033,7.886987166,3.97609095
Hbet_v1_contig_10214,3801,471,647,1317,4.655164171,7.522139456,5.971157055
Hbet_v1_contig_10215,1992,195,407,881,5.587707521,9.6015213,5.110687113
Hbet_v1_contig_10216,1272,72,37,1383,0.79550553,23.60415969,9.572149233
Hbet_v1_contig_10217,247,28,4,196,0.44288567,17.22711661,1.560537662
Hbet_v1_contig_10218,2253,1040,720,1651,8.739767817,15.90887088,31.59020254
Hbet_v1_contig_10219,1060,1896,556,1206,14.34489973,24.69988424,27.91431229
Hbet_v1_contig_1022,2087,11277,4398,6170,57.63169151,64.1824351,52.90890805
Hbet_v1_contig_10220,1521,156,1426,878,25.64005202,12.53195357,9.555449065
Hbet_v1_contig_10221,297,60,132,96,12.15475117,7.017271165,1.832217719
Hbet_v1_contig_10222,320,291,274,140,23.4168878,9.497986166,10.84086007
Hbet_v1_contig_10223,296,26,37,73,3.418523766,5.354077144,7.353630575
Hbet_v1_contig_10224,1518,423,529,342,9.530429893,4.891114277,6.796133659
Hbet_v1_contig_10225,1874,1349,1149,1691,16.7679138,19.58968697,18.57210283
Hbet_v1_contig_10226,819,2249,1451,510,48.4520438,13.51885001,66.3046371
Hbet_v1_contig_10227,657,1146,795,1609,33.09255883,53.16724415,31.57751942
Hbet_v1_contig_10228,2108,897,832,2280,10.79397257,23.48106095,21.59809208
Hbet_v1_contig_10229,5454,2691,4877,3382,24.45491809,13.46207312,12.42604917
Hbet_v1_contig_1023,1964,5445,350,4253,4.873659137,47.01185355,73.83958685
Hbet_v1_contig_10230,475,73,105,126,6.045389397,5.758778981,7.923859472
Hbet_v1_contig_10231,2664,2182,2676,3012,27.47138017,24.5456322,24.73339173
Hbet_v1_contig_10232,1259,3175,1549,500,33.64761438,8.621796134,49.63359922
Hbet_v1_contig_10233,1039,1001,578,662,15.21391135,13.83234834,19.35665719
Hbet_v1_contig_10234,509,561,741,1363,39.81337698,58.13417971,9.310023778
Hbet_v1_contig_10235,1071,215,134,679,3.421715665,13.76365502,8.06599208
Hbet_v1_contig_10236,1628,197,368,414,6.181900471,5.520766968,4.874565722
Hbet_v1_contig_10237,1719,89,70,317,1.113655212,4.003472603,1.319004902
Hbet_v1_contig_10238,2812,2277,2266,2296,22.03805079,17.72597134,39.49351157
Hbet_v1_contig_10239,1349,11396,5817,6211,117.9276664,99.954662,247.0911635
Hbet_v1_contig_1024,3282,5158,4902,6540,40.84729677,43.2606108,40.29727565
Hbet_v1_contig_10240,695,1855,896,2538,35.25752281,79.27938792,48.28355039
Hbet_v1_contig_10241,3537,1038,1067,2245,8.250076015,13.7795413,19.77617948
Hbet_v1_contig_10242,1395,159,92,1361,1.803608238,21.18055778,9.101984798
Hbet_v1_contig_10243,1805,1081,1210,1201,18.33313576,14.44505755,35.47396821
Hbet_v1_contig_10244,705,250,317,598,12.29698762,18.41473792,18.4605681
Hbet_v1_contig_10245,289,41,26,209,2.460390807,15.70008193,47.77951492
Hbet_v1_contig_10246,1099,237,114,809,2.836845928,15.98101299,114.6682373
Hbet_v1_contig_10247,671,402,227,331,9.251921251,10.70924734,14.32734184
Hbet_v1_contig_10248,2366,149,194,506,2.242412885,4.642899167,5.309056055
Hbet_v1_contig_10249,1142,59,93,129,2.227129319,2.452319671,6.035729474
Hbet_v1_contig_1025,320,4,58,151,4.956859461,10.24425651,16.29671776
Hbet_v1_contig_10250,691,7974,2866,4353,113.4296858,136.7615755,132.5968141
Hbet_v1_contig_10251,1926,1445,1943,1517,27.58958121,17.09947487,23.43890202
Hbet_v1_contig_10252,489,0,0,72,0,3.196517693,0
Hbet_v1_contig_10253,2790,85,13,1129,0.127428843,8.785029294,4.494104994
Hbet_v1_contig_10254,3803,635,573,2970,4.120566117,16.95444584,34.68127257
Hbet_v1_contig_10255,532,1713,1152,982,59.22014103,40.07313605,40.06254251
Hbet_v1_contig_10256,390,166,83,460,5.820255848,25.60629238,7.209072025
Hbet_v1_contig_10257,227,13,0,104,0,9.946286332,6.79211987
Hbet_v1_contig_10258,439,15,3,92,0.186889682,4.54963737,0.516485063
Hbet_v1_contig_10259,895,1081,1186,1352,36.2401715,32.79496197,6.004095578
Hbet_v1_contig_1026,3660,1950,1725,3577,12.88951584,21.21735926,20.36915485
Hbet_v1_contig_10260,2307,2844,1998,1560,23.68516856,14.68014953,58.4189158
Hbet_v1_contig_10261,1661,528,897,772,14.76901056,10.0902318,10.3198753
Hbet_v1_contig_10262,1228,649,666,354,14.83216175,6.258328716,15.97129116
Hbet_v1_contig_10263,1441,38,317,198,6.016222256,2.983009832,0.267489801
Hbet_v1_contig_10264,1526,845,805,1839,14.42679754,26.16258612,20.80155438
Hbet_v1_contig_10265,293,28,25,432,2.333463322,32.0088154,6.809846744
Hbet_v1_contig_10266,2699,601,1018,943,10.31510098,7.585116989,7.47669059
Hbet_v1_contig_10267,350,1,1,283,0.078137686,17.55382913,7.385146134
Hbet_v1_contig_10268,2539,175,210,458,2.261961373,3.916122356,7.260225854
