Contig ID,Size,Phco_ech1,Phco_ech2,Phco_ech3,Phco_F1_RPKM,Phco_F2_RPKM,Phco_F3_RPKM
Phco_v1_contig_20067,2433,558,381,245,3.490447302,6.237572908,7.340331437
Phco_v1_contig_20068,327,68,61,34,3.164828316,7.430445456,7.579191127
Phco_v1_contig_20069,432,26,0,0,0.915964404,0,0
Phco_v1_contig_2007,1303,7916,2148,1294,92.45924981,65.66328859,72.39049648
Phco_v1_contig_20070,393,22,9,7,0.851959845,0.912184582,1.298366149
Phco_v1_contig_20071,1379,157,136,106,1.732704015,3.928324996,5.603163478
Phco_v1_contig_20072,362,169,60,33,7.105049855,6.601998906,6.645031804
Phco_v1_contig_20073,454,66,45,24,2.212468409,3.948111681,3.853426533
Phco_v1_contig_20074,270,36,13,6,2.02921345,1.917839929,1.619866339
Phco_v1_contig_20075,553,148,56,49,4.073104754,4.033626336,6.458960718
Phco_v1_contig_20076,951,414,123,120,6.625349907,5.15178064,9.197979211
Phco_v1_contig_20077,438,96,189,93,3.335693342,17.18780674,15.47749002
Phco_v1_contig_20078,409,113,61,28,4.204788261,5.940722895,4.990297279
Phco_v1_contig_20079,1523,290,140,56,2.897924657,3.661515699,2.680277855
Phco_v1_contig_2008,1955,29767,7386,5466,231.7273533,150.4857267,203.8048713
Phco_v1_contig_20080,747,77,31,45,1.568769434,1.653003831,4.391203931
Phco_v1_contig_20081,1628,340,341,179,3.1784363,8.343201771,8.014756363
Phco_v1_contig_20082,570,213,124,42,5.687137694,8.665220085,5.371135755
Phco_v1_contig_20083,919,157,34,26,2.599998734,1.473656194,2.062289028
Phco_v1_contig_20084,369,451,326,136,18.60112329,35.19038369,26.86607586
Phco_v1_contig_20085,672,87,13,13,1.970330024,0.770560686,1.4101515
Phco_v1_contig_20086,1035,321,2490,3406,4.720126937,95.82785466,239.8810761
Phco_v1_contig_20087,691,155,69,0,3.413835941,3.977441599,0
Phco_v1_contig_20088,266,58,0,54,3.318450566,0,14.79802708
Phco_v1_contig_20089,1717,637,287,141,5.646224377,6.658008876,5.98605237
Phco_v1_contig_2009,305,3972,845,1004,198.1976022,110.3543959,239.9526596
Phco_v1_contig_20090,390,196,79,65,7.648573772,8.068545501,12.14899754
Phco_v1_contig_20091,603,24,47,24,0.605735358,3.104654765,2.901253144
Phco_v1_contig_20092,468,234,50,64,7.609550436,4.255561973,9.968408239
Phco_v1_contig_20093,754,128,94,64,2.583613941,4.965800592,6.187287872
