Contig ID,Size,Pgra_ech1,Pgra_ech2,Pgra_ENV_F1_RPKM,Pgra_ENV_F2_RPKM
Pgra_v1_contig_103,1984,32980,15292,328.8234231,168.7460944
Pgra_v1_contig_1030,2203,1626,974,14.60023367,9.679558931
Pgra_v1_contig_10300,1086,830,1005,15.11826765,20.26036873
Pgra_v1_contig_10301,226,138,160,12.07881723,15.49967715
Pgra_v1_contig_10302,226,75,67,6.564574581,6.490489805
Pgra_v1_contig_10303,1760,1898,346,21.33228134,4.304022564
Pgra_v1_contig_10304,1734,751,1515,8.56731246,19.12822397
Pgra_v1_contig_10305,5809,3335,4302,11.35659725,16.21362552
Pgra_v1_contig_10306,1632,1618,2137,19.6115593,28.66787329
Pgra_v1_contig_10307,504,105,86,4.121094043,3.735760479
Pgra_v1_contig_10308,893,266,176,5.892287653,4.31491572
Pgra_v1_contig_10309,1974,2314,24,23.18835651,0.266179866
Pgra_v1_contig_1031,1556,4813,3031,61.18712276,42.64689847
Pgra_v1_contig_10310,2200,462,1740,4.154062795,17.31560523
Pgra_v1_contig_10311,1846,389,198,4.168421883,2.348251466
Pgra_v1_contig_10312,2010,3018,2707,29.70140136,29.48514765
Pgra_v1_contig_10313,230,330,306,28.38179549,29.1275998
Pgra_v1_contig_10314,1344,1882,2658,27.69963924,43.29789834
Pgra_v1_contig_10315,1340,2375,1495,35.0600538,24.42572723
Pgra_v1_contig_10316,547,583,2080,21.08312535,83.2505511
Pgra_v1_contig_10317,284,536,579,37.33362941,44.63456763
Pgra_v1_contig_10318,1982,1161,2419,11.58730216,26.72042286
Pgra_v1_contig_10319,1147,361,3174,6.225834139,60.58353536
Pgra_v1_contig_1032,915,2672,634,57.76557787,15.16977965
Pgra_v1_contig_10320,1529,1162,1520,15.03323357,21.76442566
Pgra_v1_contig_10321,4579,1995,2392,8.618387542,11.43672399
Pgra_v1_contig_10322,1945,2775,2356,28.22260805,26.51958899
Pgra_v1_contig_10323,353,192,396,10.75920756,24.56018247
Pgra_v1_contig_10324,2671,9656,6473,71.51170482,53.05701679
Pgra_v1_contig_10325,1468,460,428,6.198484773,6.383058459
Pgra_v1_contig_10326,606,46,55,1.501547136,1.987015129
Pgra_v1_contig_10327,1440,1243,1227,17.07506632,18.6549109
Pgra_v1_contig_10328,2229,1702,1726,15.10439206,16.95281534
Pgra_v1_contig_10329,3157,1052,1835,6.591661856,12.72543378
Pgra_v1_contig_1033,1316,1393,793,20.93866505,13.1925396
Pgra_v1_contig_10330,793,305,1043,7.608173617,28.79534125
Pgra_v1_contig_10331,702,382,163,10.76415675,5.083485636
Pgra_v1_contig_10332,2990,1773,136439,11.72981898,999.0298113
Pgra_v1_contig_10333,1060,440,234,8.211085489,4.833047914
Pgra_v1_contig_10334,541,81,26,2.961703075,1.052173093
Pgra_v1_contig_10335,1213,1808,1489,29.48433845,26.87478542
Pgra_v1_contig_10336,1527,664,770,8.601670552,11.03984044
Pgra_v1_contig_10337,2987,5254,2879,34.79434044,21.10170517
Pgra_v1_contig_10338,1778,559,1817,6.21918984,22.37351808
Pgra_v1_contig_10339,1025,98,49,1.891280622,1.046606248
Pgra_v1_contig_1034,2927,1383,2569,9.346590602,19.21553543
Pgra_v1_contig_10340,1877,639,2342,6.73426726,27.31704554
Pgra_v1_contig_10341,1718,884,1429,10.1784786,18.21042903
Pgra_v1_contig_10342,1556,449,390,5.708086042,5.487393732
Pgra_v1_contig_10343,1829,1244,2624,13.45427925,31.40951524
Pgra_v1_contig_10344,468,996,382,42.09856068,17.8701673
Pgra_v1_contig_10345,1433,329,302,4.541543414,4.613939134
Pgra_v1_contig_10346,1581,1496,200,18.71774327,2.769550154
Pgra_v1_contig_10347,2729,1437,574,10.41614447,4.604892172
Pgra_v1_contig_10348,2393,909,408,7.514064993,3.732747154
Pgra_v1_contig_10349,2097,798,1770,7.52762929,18.47931823
Pgra_v1_contig_1035,523,1272,1571,48.11042407,65.76360387
Pgra_v1_contig_10350,1739,631,100,7.177670866,1.258958825
Pgra_v1_contig_10351,666,2515,1385,74.6994704,45.52884707
Pgra_v1_contig_10352,2526,1839,1635,14.40131486,14.17083754
Pgra_v1_contig_10353,909,601,129,13.07869317,3.106969111
Pgra_v1_contig_10354,1558,1304,3405,16.55632338,47.8476675
Pgra_v1_contig_10355,914,1756,813,38.00424231,19.47401312
Pgra_v1_contig_10356,2211,818,646,7.318436748,6.39668381
Pgra_v1_contig_10357,2382,723,2171,6.004132983,19.95396356
Pgra_v1_contig_10358,1276,4842,3449,75.06333801,59.17709318
Pgra_v1_contig_10359,342,381,131,22.03700814,8.386027806
Pgra_v1_contig_1036,308,3178,2485,204.1065486,176.6390763
Pgra_v1_contig_10360,551,456,175,16.37069082,6.953405525
Pgra_v1_contig_10361,359,404,320,22.26079545,19.51491384
Pgra_v1_contig_10362,724,1714,1245,46.83020015,37.64799861
Pgra_v1_contig_10363,2331,1818,8421,15.42784859,79.09198992
Pgra_v1_contig_10364,1814,1763,1285,19.22510817,15.50875565
Pgra_v1_contig_10365,2136,2171,725,20.1053824,7.431010359
Pgra_v1_contig_10366,939,2358,991,49.67432461,23.10570215
Pgra_v1_contig_10367,334,7,30,0.414577125,1.96646353
