Contig ID,Size,Gpru_ech1,Gpru_ech2,Gpru_ech3,Gpru_ENV_F1_RPKM,Gpru_ENV_F2_RPKM,Gpru_ENV_F3_RPKM
Gpru_v1_contig_10252,1412,225,260,425,3.362843751,3.40340496,5.663298328
Gpru_v1_contig_10253,1692,922,1221,370,11.4997773,13.33798675,4.114495311
Gpru_v1_contig_10254,218,175,408,112,16.94105384,34.59223684,9.666666495
Gpru_v1_contig_10255,594,129,400,570,4.583129544,12.44653666,18.05525461
Gpru_v1_contig_10256,1843,180,459,393,2.061133099,4.603226308,4.012198596
Gpru_v1_contig_10257,1026,2018,2921,3933,41.50808226,52.62100913,72.12599078
Gpru_v1_contig_10258,224,627,406,975,59.07155319,33.50063133,81.89771857
Gpru_v1_contig_10259,1416,875,991,1246,13.04078297,12.93556425,16.55655573
Gpru_v1_contig_1026,589,6,247,2,0.214978398,7.750980329,0.063889561
Gpru_v1_contig_10260,1435,702,697,772,10.32390688,8.977509085,10.12233266
Gpru_v1_contig_10261,1286,1281,2446,1998,21.02166102,35.15527183,29.23275331
Gpru_v1_contig_10262,1368,392,1211,493,6.047262727,16.36187318,6.78072339
Gpru_v1_contig_10263,335,63,152,118,3.968757926,8.38636494,6.62754075
Gpru_v1_contig_10264,354,101,228,121,6.021115794,11.90437396,6.431278471
Gpru_v1_contig_10265,450,127,66,37,5.955936719,2.710855684,1.547050237
Gpru_v1_contig_10266,512,21,28,11,0.86558197,1.010794911,0.404238739
Gpru_v1_contig_10267,3175,4334,5153,6197,28.8073988,29.99793703,36.72425319
Gpru_v1_contig_10268,334,134,231,133,8.466759021,12.78322666,7.492390087
Gpru_v1_contig_10269,782,107,868,110,2.887592414,20.51577599,2.64667819
Gpru_v1_contig_1027,830,96,202,161,2.440911358,4.498298315,3.649748931
Gpru_v1_contig_10270,1593,1495,1732,1946,19.80543039,20.09588275,22.98488137
Gpru_v1_contig_10271,1586,673,1028,1905,8.95510637,11.98022316,22.59992529
Gpru_v1_contig_10272,3347,256,462,1635,1.614147138,2.551298299,9.191306551
Gpru_v1_contig_10273,1107,2006,4866,6491,38.24213897,81.24552698,110.3263359
Gpru_v1_contig_10274,5360,1914,2915,2974,7.535915348,10.05191357,10.43978082
Gpru_v1_contig_10275,3200,278,780,1108,1.833385048,4.505257316,6.514858515
Gpru_v1_contig_10276,1372,1194,2321,3319,18.36576754,31.26770496,45.51644633
Gpru_v1_contig_10277,3107,787,946,661,5.345549392,5.627621231,4.002906193
Gpru_v1_contig_10278,610,2,34,0,0.069192501,1.030205961,0
Gpru_v1_contig_10279,1254,289,296,288,4.863614828,4.36283864,4.321257613
Gpru_v1_contig_1028,527,242,489,1575,9.690888982,17.15035919,56.23220963
Gpru_v1_contig_10280,425,91,323,35,4.518677325,14.04716127,1.549509776
Gpru_v1_contig_10281,2039,2242,3548,4364,23.20476903,32.16187514,40.27010134
Gpru_v1_contig_10282,1563,546,884,1557,7.372122316,10.45365741,18.74324754
Gpru_v1_contig_10283,2328,512,744,720,4.641366385,5.906972321,5.819219337
Gpru_v1_contig_10284,1854,3526,6547,10007,40.13575581,65.26909446,101.5568861
Gpru_v1_contig_10285,1474,85,1135,316,1.216971226,14.23224313,4.033711242
Gpru_v1_contig_10286,2567,2658,2662,427,21.85183817,19.1671331,3.129804515
Gpru_v1_contig_10287,398,24,70,30,1.272585695,3.250797703,1.418251949
Gpru_v1_contig_10288,476,103,38,33,4.566559699,1.475542151,1.304434251
Gpru_v1_contig_10289,1181,204,117,29,3.645349202,1.831095268,0.462022693
Gpru_v1_contig_1029,240,46,62,169,4.044878283,4.774802626,13.24923092
Gpru_v1_contig_10290,594,10,212,52,0.35528136,6.59666443,1.647146035
