Contig ID,Size,Grac_ech1,Grac_ech2,Grac_ech3,Grac10_F RPKM,Grac9_F RPKM,Grac8_F RPKM
Grac_v1_contig_10250,1190,130,263,661,4.604870952,3.367119288,11.09867997
Grac_v1_contig_10251,1941,507,602,835,11.01041014,4.72520518,8.595631146
Grac_v1_contig_10252,1816,559,1171,902,12.97528891,9.824054574,9.92447459
Grac_v1_contig_10253,3514,694,2031,2119,8.324895417,8.80557827,12.048862
Grac_v1_contig_10254,383,53,188,89,5.833083168,7.478401723,4.643100279
Grac_v1_contig_10255,222,55,303,105,10.4431325,20.79406368,9.450464507
Grac_v1_contig_10256,557,206,1825,388,15.58953273,49.91802441,13.91852972
Grac_v1_contig_10257,231,400,947,722,72.99096148,62.45794841,62.45138129
Grac_v1_contig_10258,1019,509,1901,1238,21.05545697,28.4221972,24.27522654
Grac_v1_contig_10259,296,22,50,0,3.132939749,2.573522732,0
Grac_v1_contig_1026,1677,480,1225,454,12.06505338,11.12891285,5.409281976
Grac_v1_contig_10260,366,22,162,60,2.533743622,6.743473336,3.275570836
Grac_v1_contig_10261,1577,1012,1471,1380,27.05016336,14.21119815,17.48494312
Grac_v1_contig_10262,242,24,89,48,4.18039143,5.60304817,3.963170004
Grac_v1_contig_10263,299,6,16,0,0.845865156,0.815264459,0
Grac_v1_contig_10264,246,0,8,0,0,0.495455433,0
Grac_v1_contig_10265,2668,845,2840,2415,13.35032864,16.2174374,18.0862338
Grac_v1_contig_10266,1379,185,370,434,5.654946952,4.087776789,6.288430915
Grac_v1_contig_10267,202,164,493,604,34.22264338,37.18307181,59.7451148
Grac_v1_contig_10268,1330,1513,3997,2954,47.95218047,45.78594927,44.37881288
Grac_v1_contig_10269,736,399,791,613,22.85157584,16.37375865,16.64176906
Grac_v1_contig_1027,336,4,14,0,0.50181286,0.634802274,0
Grac_v1_contig_10270,290,11,46,40,1.598879596,2.416626588,2.755997531
Grac_v1_contig_10271,533,174,539,627,13.76078192,15.40675838,23.5048326
Grac_v1_contig_10272,666,260,273,1262,16.45584514,6.24508183,37.86186098
Grac_v1_contig_10273,295,146,412,341,20.8618065,21.27771147,23.09666067
Grac_v1_contig_10274,1271,116,138,17,3.847100322,1.65418185,0.267251531
Grac_v1_contig_10275,1228,415,2485,1900,14.24527386,30.83029936,30.91520032
Grac_v1_contig_10276,2620,875,1130,1506,14.07757451,6.570930408,11.48525154
Grac_v1_contig_10277,1341,513,1239,738,16.12536896,14.07642089,10.99624518
Grac_v1_contig_10278,321,1141,1574,2437,149.8310024,74.70495545,151.6936242
Grac_v1_contig_10279,391,3,15,0,0.32341903,0.584472682,0
Grac_v1_contig_1028,1591,852,1572,1208,22.57306271,15.0533125,15.17097824
Grac_v1_contig_10280,657,977,2250,1479,62.68307125,52.17552936,44.98001907
Grac_v1_contig_10281,1958,1098,1957,1619,23.63799986,15.22747355,16.52155772
Grac_v1_contig_10282,2254,357,1502,1127,6.676292835,10.15233024,9.990491051
Grac_v1_contig_10283,222,3,21,3,0.569625409,1.44117273,0.270013272
Grac_v1_contig_10284,202,23,133,92,4.799517059,10.03113296,9.100249274
Grac_v1_contig_10285,1858,559,904,518,12.68198313,7.412631935,5.570585968
Grac_v1_contig_10286,2553,368,653,713,6.076004361,3.89683558,5.580274281
Grac_v1_contig_10287,813,532,1032,762,27.58304194,19.33921614,18.72756256
Grac_v1_contig_10288,556,249,1917,1162,18.87754997,52.52874644,41.75881511
Grac_v1_contig_10289,542,2,77,13,0.15554347,2.164418085,0.479248648
Grac_v1_contig_1029,2210,1539,6679,6875,29.35400874,46.04355896,62.15803255
Grac_v1_contig_10290,1013,868,3123,1817,36.11863698,46.96910171,35.83953058
Grac_v1_contig_10291,2155,605,910,772,11.83393483,6.433448567,7.15792027
Grac_v1_contig_10292,455,29,27,45,2.686628851,0.904070052,1.976141087
Grac_v1_contig_10293,882,118,644,327,5.639420714,11.12415413,7.407915133
Grac_v1_contig_10294,246,65,63,112,11.13779763,3.901711537,9.097032501
Grac_v1_contig_10295,351,2,19,14,0.240183933,0.82470039,0.796962249
Grac_v1_contig_10296,1179,23,248,525,0.822309114,3.204701556,8.897383887
Grac_v1_contig_10297,2016,318,460,441,6.649020397,3.476298167,4.370839835
Grac_v1_contig_10298,184,12,22,25,2.749061756,1.821606525,2.714807351
Grac_v1_contig_10299,2777,64,452,431,0.971460546,2.479774961,3.101117496
Grac_v1_contig_103,3216,14673,33725,47022,192.3197787,159.7664678,292.1473073
Grac_v1_contig_1030,2617,2279,6055,4903,36.70808051,35.25008271,37.43475554
Grac_v1_contig_10300,915,1181,1289,972,54.40638577,21.46256082,21.22569902
Grac_v1_contig_10301,381,4,152,12,0.442543625,6.078106812,0.629322271
